time,temperature_2m,relative_humidity_2m,precipitation_mm
2026-02-26T00:00,19.3,84,0.0
2026-02-26T01:00,19.0,85,0.0
2026-02-26T02:00,19.4,83,0.0
2026-02-26T03:00,22.7,72,0.0
2026-02-26T04:00,25.6,58,0.0
2026-02-26T05:00,27.9,49,0.0
2026-02-26T06:00,29.7,42,0.0
2026-02-26T07:00,30.8,36,0.0
2026-02-26T08:00,31.6,29,0.0
2026-02-26T09:00,32.0,27,0.0
2026-02-26T10:00,31.9,27,0.0
2026-02-26T11:00,31.6,26,0.0
2026-02-26T12:00,30.8,30,0.0
2026-02-26T13:00,28.3,41,0.0
2026-02-26T14:00,26.0,49,0.0
2026-02-26T15:00,25.2,51,0.0
2026-02-26T16:00,24.7,51,0.0
2026-02-26T17:00,22.5,61,0.0
2026-02-26T18:00,23.0,59,0.0
2026-02-26T19:00,22.7,56,0.0
2026-02-26T20:00,22.3,54,0.0
2026-02-26T21:00,21.8,53,0.0
2026-02-26T22:00,21.4,52,0.0
2026-02-26T23:00,20.9,53,0.0
2026-02-27T00:00,20.5,53,0.0
2026-02-27T01:00,19.8,57,0.0
2026-02-27T02:00,18.5,69,0.0
2026-02-27T03:00,21.2,72,0.0
2026-02-27T04:00,25.0,49,0.0
2026-02-27T05:00,27.3,41,0.0
2026-02-27T06:00,29.3,36,0.0
2026-02-27T07:00,31.0,31,0.0
2026-02-27T08:00,31.6,29,0.0
2026-02-27T09:00,31.7,29,0.0
2026-02-27T10:00,31.6,29,0.0
2026-02-27T11:00,31.3,30,0.0
2026-02-27T12:00,30.5,33,0.0
2026-02-27T13:00,28.9,41,0.0
2026-02-27T14:00,27.5,44,0.0
2026-02-27T15:00,26.3,48,0.0
2026-02-27T16:00,24.8,52,0.0
2026-02-27T17:00,23.4,57,0.0
2026-02-27T18:00,22.7,61,0.0
2026-02-27T19:00,20.4,74,0.0
2026-02-27T20:00,20.9,72,0.0
2026-02-27T21:00,22.2,63,0.0
2026-02-27T22:00,21.0,69,0.0
2026-02-27T23:00,20.1,76,0.0
2026-02-28T00:00,20.0,77,0.0
2026-02-28T01:00,20.2,75,0.0
2026-02-28T02:00,20.4,76,0.0
2026-02-28T03:00,22.7,77,0.0
2026-02-28T04:00,25.9,54,0.0
2026-02-28T05:00,27.8,46,0.0
2026-02-28T06:00,29.6,41,0.0
2026-02-28T07:00,31.5,34,0.0
2026-02-28T08:00,32.2,32,0.0
2026-02-28T09:00,32.6,32,0.0
2026-02-28T10:00,32.5,32,0.0
2026-02-28T11:00,32.3,31,0.0
2026-02-28T12:00,31.6,39,0.0
2026-02-28T13:00,29.5,47,0.0
2026-02-28T14:00,26.8,57,0.0
2026-02-28T15:00,25.6,59,0.0
2026-02-28T16:00,25.2,57,0.0
2026-02-28T17:00,24.3,58,0.0
2026-02-28T18:00,23.5,61,0.0
2026-02-28T19:00,21.1,76,0.0
2026-02-28T20:00,21.4,73,0.0
2026-02-28T21:00,22.0,68,0.0
2026-02-28T22:00,21.6,69,0.0
2026-02-28T23:00,20.9,72,0.0
2026-03-01T00:00,20.0,79,0.0
2026-03-01T01:00,20.4,75,0.0
2026-03-01T02:00,21.1,74,0.0
2026-03-01T03:00,24.2,63,0.0
2026-03-01T04:00,27.6,50,0.0
2026-03-01T05:00,30.0,41,0.0
2026-03-01T06:00,31.7,34,0.0
2026-03-01T07:00,33.0,30,0.0
2026-03-01T08:00,33.7,28,0.0
2026-03-01T09:00,33.9,27,0.0
2026-03-01T10:00,33.7,26,0.0
2026-03-01T11:00,33.1,27,0.0
2026-03-01T12:00,32.0,30,0.0
2026-03-01T13:00,30.4,38,0.0
2026-03-01T14:00,28.3,48,0.0
2026-03-01T15:00,26.5,55,0.0
2026-03-01T16:00,25.3,57,0.0
2026-03-01T17:00,24.3,57,0.0
2026-03-01T18:00,23.4,57,0.0
2026-03-01T19:00,22.5,59,0.0
2026-03-01T20:00,21.7,62,0.0
2026-03-01T21:00,21.0,64,0.0
2026-03-01T22:00,20.2,65,0.0
2026-03-01T23:00,19.5,66,0.0
2026-03-02T00:00,19.4,67,0.0
2026-03-02T01:00,20.0,69,0.0
2026-03-02T02:00,21.2,70,0.0
2026-03-02T03:00,22.9,67,0.0
2026-03-02T04:00,25.6,57,0.0
2026-03-02T05:00,28.9,43,0.0
2026-03-02T06:00,31.5,32,0.0
2026-03-02T07:00,32.9,28,0.0
2026-03-02T08:00,33.7,27,0.0
2026-03-02T09:00,34.1,27,0.0
2026-03-02T10:00,34.3,27,0.0
2026-03-02T11:00,34.0,29,0.0
2026-03-02T12:00,33.1,32,0.0
2026-03-02T13:00,31.0,39,0.0
2026-03-02T14:00,28.4,47,0.0
2026-03-02T15:00,26.1,54,0.0
2026-03-02T16:00,24.6,59,0.0
2026-03-02T17:00,23.6,62,0.0
2026-03-02T18:00,22.7,64,0.0
2026-03-02T19:00,22.1,65,0.0
2026-03-02T20:00,21.7,64,0.0
2026-03-02T21:00,21.2,64,0.0
2026-03-02T22:00,20.3,66,0.0
2026-03-02T23:00,19.5,68,0.0
